
[+] Resolving hosts from [ host.txt ]
+-----------------------------------------------------------------------------+-----------------+-------+
| Hostname                                                                    | IP              | RType |
| 102-64-42-115.connect.net.pk                                                | 115.42.64.102   |   A   |
| 102.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 103.226.216.176.phfmc.punjab.gov.pk                                         | 103.226.216.176 |   A   |
| 103.68.97.137.ist.edu.pk                                                    | 111.68.97.150   |   A   |
| 104.68.97.136.ist.edu.pk                                                    | 111.68.97.150   |   A   |
| 104.pu.edu.pk                                                               | 111.68.103.27   |   A   |
| 105.colgate.com.pk                                                          | 35.213.138.68   |   A   |
| 105.kp.gov.pk                                                               | 175.107.63.150  |   A   |
| 105.uskt.edu.pk                                                             | 206.72.198.158  |   A   |
| 106.68.97.136.ist.edu.pk                                                    | 111.68.97.150   |   A   |
| 107.forex.com.pk                                                            | 167.114.174.80  |   A   |
| 108.177.15.108.agpr.gov.pk                                                  | 210.56.11.83    |   A   |
| 108.177.15.108.ias.pu.edu.pk                                                | 111.68.103.27   |   A   |
| 108.177.15.108.ist.edu.pk                                                   | 111.68.97.150   |   A   |
| 108.177.15.108.kp.gov.pk                                                    | 175.107.63.150  |   A   |
| 108.177.15.108.lpp.org.pk                                                   | 65.21.166.30    |   A   |
| 108.177.15.108.mmg.pu.edu.pk                                                | 111.68.103.27   |   A   |
| 108.177.15.108.pu.edu.pk                                                    | 111.68.103.27   |   A   |
| 108.daewoo.com.pk                                                           | 144.76.139.14   |   A   |
| 109-64-42-115.connect.net.pk                                                | 115.42.64.109   |   A   |
| 10a.pmd.gov.pk                                                              | 203.124.42.75   |   A   |
| 10ns.uskt.edu.pk                                                            | 206.72.198.158  |   A   |
| 10pmc.gov.pk.pmc.gov.pk                                                     | 43.250.84.119   |   A   |
| 10tc.agpr.gov.pk                                                            | 210.56.11.83    |   A   |
| 10z.lesco.gov.pk                                                            | 65.254.231.115  |   A   |
| 10zyx.lesco.gov.pk                                                          | 65.254.231.115  |   A   |
| 11-111.68.97.131.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 11-78-42-115.connect.net.pk                                                 | 115.42.78.11    |   A   |
